feature,correlation_with_churn_label
payment_risk_score,0.4357096449400812
monthly_charge_to_tenure_ratio,0.4195853063192062
contract_month_to_month,0.4051029106879898
is_month_to_month_contract,0.4051029106879898
customer_health_score,-0.38763448941464407
tenure,-0.3522286701130792
online_security_no,0.3426367998511234
no_online_security_flag,0.3426367998511234
tech_support_no,0.3372807277351978
no_tech_support_flag,0.3372807277351978
tenure_segment_0_6_months,0.3085385026607783
internet_service_fiber_optic,0.30801974494482387
contract_two_year,-0.30225346934964975
is_electronic_check,0.3019187490112847
payment_method_electronic_check,0.3019187490112847
online_backup_no,0.2680051809623607
tenure_segment_49_plus_months,-0.2632219948552588
device_protection_no,0.252481360595685
tech_support_no_internet_service,-0.2278904497560931
online_security_no_internet_service,-0.2278904497560931
device_protection_no_internet_service,-0.2278904497560931
internet_service_no,-0.2278904497560931
streaming_movies_no_internet_service,-0.2278904497560931
streaming_tv_no_internet_service,-0.2278904497560931
online_backup_no_internet_service,-0.2278904497560931
support_to_tenure_ratio,0.2211831547997384
complaints_per_tenure_month,0.21936897974029704
customer_value_segment_low_value,0.21512205816610433
estimated_customer_lifetime_value,-0.19852453408500487
total_charges_imputed,-0.19835921553780522
total_charges,-0.19834838341480418
monthly_charges,0.19364616123838232
avg_monthly_spend,0.19300987867917008
paperless_billing_no,-0.1918253316664681
paperless_billing_yes,0.1918253316664679
contract_one_year,-0.1778200183499075
online_security_yes,-0.17122629194855238
tech_support_yes,-0.16467355590159388
dependents_no,0.1642214015797257
dependents_yes,-0.1642214015797256
customer_value_segment_high_value,-0.1576682956954783
senior_citizen,0.15088932817647277
partner_no,0.15044754495917712
partner_yes,-0.15044754495917698
payment_method_credit_card_automatic,-0.13430175066262812
streaming_movies_no,0.13084502938616735
streaming_tv_no,0.12891588111510918
internet_service_dsl,-0.12421382390260381
payment_method_bank_transfer_automatic,-0.11793667192853842
monthly_spend_per_invoice,0.09368495776169436
payment_method_mailed_check,-0.09168283858842927
online_backup_yes,-0.08225486893814267
tenure_segment_25_48_months,-0.07531152660414625
tenure_segment_7_12_months,0.07062336486052895
device_protection_yes,-0.06615979128028991
streaming_tv_yes,0.06322774611875766
streaming_movies_yes,0.06138154801518716
customer_value_segment_established_value,-0.045345664794860456
multiple_lines_yes,0.04010212769982599
multiple_lines_no,-0.032568578450191475
open_ticket_count,-0.028101548748558965
unresolved_ticket_count,-0.028101548748558965
primary_ticket_type_technical_issue,-0.023868590763357903
total_charges_missing_flag,-0.02377104915207222
primary_activity_country_norway,0.023509093462637902
open_ticket_rate,-0.023460985118273468
primary_activity_country_cyprus,0.02186405243677543
total_quantity,0.020597371783547813
primary_ticket_priority_medium,-0.020578825390961772
tenure_segment_13_24_months,0.020308472885826444
primary_activity_country_switzerland,0.020213585701757096
