dataset,column_name,dtype,row_count,missing_count,missing_pct,unique_count,is_key_column
telco_customer_churn,customer_id,object,7043,0,0.0,7043,True
telco_customer_churn,gender,object,7043,0,0.0,2,False
telco_customer_churn,senior_citizen,int64,7043,0,0.0,2,False
telco_customer_churn,partner,object,7043,0,0.0,2,False
telco_customer_churn,dependents,object,7043,0,0.0,2,False
telco_customer_churn,tenure,int64,7043,0,0.0,73,False
telco_customer_churn,phone_service,object,7043,0,0.0,2,False
telco_customer_churn,multiple_lines,object,7043,0,0.0,3,False
telco_customer_churn,internet_service,object,7043,0,0.0,3,False
telco_customer_churn,online_security,object,7043,0,0.0,3,False
telco_customer_churn,online_backup,object,7043,0,0.0,3,False
telco_customer_churn,device_protection,object,7043,0,0.0,3,False
telco_customer_churn,tech_support,object,7043,0,0.0,3,False
telco_customer_churn,streaming_tv,object,7043,0,0.0,3,False
telco_customer_churn,streaming_movies,object,7043,0,0.0,3,False
telco_customer_churn,contract,object,7043,0,0.0,3,False
telco_customer_churn,paperless_billing,object,7043,0,0.0,2,False
telco_customer_churn,payment_method,object,7043,0,0.0,4,False
telco_customer_churn,monthly_charges,float64,7043,0,0.0,1585,False
telco_customer_churn,total_charges,object,7043,0,0.0,6531,False
telco_customer_churn,churn,object,7043,0,0.0,2,False
customer_activity,invoice,object,1067371,0,0.0,53628,True
customer_activity,stock_code,object,1067371,0,0.0,5305,False
customer_activity,description,object,1067371,4382,0.004105,5698,False
customer_activity,quantity,int64,1067371,0,0.0,1057,False
customer_activity,invoice_date,object,1067371,0,0.0,47635,False
customer_activity,price,float64,1067371,0,0.0,2807,False
customer_activity,customer_id,float64,1067371,243007,0.227669,5942,True
customer_activity,country,object,1067371,0,0.0,43,False
support_tickets,ticket_id,int64,8469,0,0.0,8469,True
support_tickets,customer_name,object,8469,0,0.0,8028,False
support_tickets,customer_email,object,8469,0,0.0,8320,True
support_tickets,customer_age,int64,8469,0,0.0,53,False
support_tickets,customer_gender,object,8469,0,0.0,3,False
support_tickets,product_purchased,object,8469,0,0.0,42,False
support_tickets,date_of_purchase,object,8469,0,0.0,730,False
support_tickets,ticket_type,object,8469,0,0.0,5,False
support_tickets,ticket_subject,object,8469,0,0.0,16,False
support_tickets,ticket_description,object,8469,0,0.0,8077,False
support_tickets,ticket_status,object,8469,0,0.0,3,False
support_tickets,resolution,object,8469,5700,0.673043,2769,False
support_tickets,ticket_priority,object,8469,0,0.0,4,False
support_tickets,ticket_channel,object,8469,0,0.0,4,False
support_tickets,first_response_time,object,8469,2819,0.332861,5470,False
support_tickets,time_to_resolution,object,8469,5700,0.673043,2728,False
support_tickets,customer_satisfaction_rating,float64,8469,5700,0.673043,5,False
